Year,Reference,Currency,Price,Quantity
2022,UBeUNAM133,TRY,20.8,1630
2019,UBeUNAM133,USD,81.1,13
2021,UBeUNAM133,USD,114.1,11
2022,UBeUNAM133,USD,126.7,13
2019,UBxOGIP134,EUR,53.0,211
2020,UBxOGIP134,EUR,53.7,258
2019,UBxOGIP134,TRY,8.7,1101
2021,UBxOGIP134,TRY,11.6,1602
2019,UBxOGIP134,USD,46.2,29
2020,UBxOGIP134,USD,46.2,25
2021,UBxOGIP134,USD,55.6,54
2022,UBxOGIP134,USD,60.4,47
2019,UBxBGCT135,EUR,26.0,228
2020,UBxBGCT135,EUR,26.0,292
2021,UBxBGCT135,EUR,33.5,302
2022,UBxBGCT135,EUR,33.5,378
2019,UBxBGCT135,TRY,4.3,1036
2020,UBxBGCT135,TRY,4.5,1184
2021,UBxBGCT135,TRY,5.4,1431
2022,UBxBGCT135,TRY,5.4,1526
2021,UBxBGCT135,USD,29.8,7
2019,PCTeCGOC136,EUR,35.0,222
2020,PCTeCGOC136,EUR,38.9,284
2022,PCTeCGOC136,EUR,53.1,341
2019,PCTeCGOC136,TRY,5.8,1019
2020,PCTeCGOC136,TRY,6.4,1198
2021,PCTeCGOC136,TRY,8.6,1402
2022,PCTeCGOC136,TRY,8.6,1679
2019,PCTeCGOC136,USD,30.5,11
2020,PCTeCGOC136,USD,30.5,21
2021,PCTeCGOC136,USD,41.0,34
2022,PCTeCGOC136,USD,42.1,21
2019,UBiPICG137,EUR,142.0,151
2020,UBiPICG137,EUR,142.0,196
2021,UBiPICG137,EUR,192.7,247
2022,UBiPICG137,EUR,192.7,237
2020,UBiPICG137,TRY,24.3,1316
2021,UBiPICG137,TRY,29.7,1576
2022,UBiPICG137,TRY,34.7,1791
2019,UBiPICG137,USD,123.9,29
2020,UBiPICG137,USD,149.4,43
2021,UBiPICG137,USD,198.4,36
2022,UBiPICG137,USD,227.9,45
2019,MXeDIBE138,EUR,88.0,305
2020,MXeDIBE138,EUR,96.5,358
2021,MXeDIBE138,EUR,135.2,411
2022,MXeDIBE138,EUR,136.9,497
2019,MXeDIBE138,TRY,14.5,1390
2021,MXeDIBE138,TRY,23.8,2014
2019,MXeDIBE138,USD,76.8,27
2020,MXeDIBE138,USD,76.8,24
2021,MXeDIBE138,USD,98.1,40
2020,UAiV0CC139,EUR,9.6,355
2021,UAiV0CC139,EUR,11.7,377
2019,UAiV0CC139,TRY,1.5,1220
2020,UAiV0CC139,TRY,1.5,1517
2021,UAiV0CC139,TRY,2.0,1708
2022,UAiV0CC139,TRY,2.0,1959
2019,UAiV0CC139,USD,7.9,34
2021,UAiV0CC139,USD,9.4,52
2019,UAiCRIO140,EUR,52.0,268
2020,UAiCRIO140,EUR,52.0,331
2021,UAiCRIO140,EUR,73.0,375
2022,UAiCRIO140,EUR,73.0,427
2019,UAiCRIO140,TRY,8.6,1255
2020,UAiCRIO140,TRY,10.1,1476
2021,UAiCRIO140,TRY,13.6,1821
2019,UAiCRIO140,USD,45.4,24
2021,UAiCRIO140,USD,69.1,31
2022,UAiCRIO140,USD,69.1,34
2019,PCTiM0UO141,EUR,21.0,349
2020,PCTiM0UO141,EUR,24.9,331
2021,PCTiM0UO141,EUR,29.7,388
2022,PCTiM0UO141,EUR,30.3,469
2019,PCTiM0UO141,TRY,3.5,1642
2020,PCTiM0UO141,TRY,3.8,1940
2022,PCTiM0UO141,TRY,5.7,2531
2020,PCTiM0UO141,USD,18.3,76
2021,PCTiM0UO141,USD,26.2,81
2022,PCTiM0UO141,USD,27.8,83
2022,PCTxUO0C142,EUR,59.0,458
2019,PCTxUO0C142,TRY,7.6,1476
2020,PCTxUO0C142,TRY,8.4,1864
2021,PCTxUO0C142,TRY,11.9,2138
2022,PCTxUO0C142,TRY,11.9,2501
2019,PCTxUO0C142,USD,40.1,27
2020,PCTxUO0C142,USD,41.5,34
2021,PCTxUO0C142,USD,54.7,43
2022,PCTxUO0C142,USD,59.3,46
2019,UAiU1OB143,EUR,64.0,356
2020,UAiU1OB143,EUR,65.0,439
2021,UAiU1OB143,EUR,102.3,517
2022,UAiU1OB143,EUR,120.6,627
2019,UAiU1OB143,TRY,10.6,1727
2020,UAiU1OB143,TRY,10.6,2077
2021,UAiU1OB143,TRY,13.6,2471
2022,UAiU1OB143,TRY,15.7,2799
2019,UAiU1OB143,USD,55.8,19
2020,UAiU1OB143,USD,65.2,16
2021,UAiU1OB143,USD,90.0,19
2022,UAiU1OB143,USD,94.8,22
2019,PCTiMUF0144,EUR,24.0,274
2020,PCTiMUF0144,EUR,30.1,351
2022,PCTiMUF0144,EUR,36.1,499
2020,PCTiMUF0144,TRY,4.2,1719
2022,PCTiMUF0144,TRY,4.8,2212
2019,PCTiMUF0144,USD,20.9,23
2020,PCTiMUF0144,USD,22.0,28
2021,PCTiMUF0144,USD,28.7,37
2022,PCTiMUF0144,USD,28.7,48
2019,UAeGSCN145,EUR,27.0,290
2020,UAeGSCN145,EUR,28.6,294
2021,UAeGSCN145,EUR,39.1,412
2022,UAeGSCN145,EUR,42.4,452
2020,UAeGSCN145,TRY,5.2,1234
2021,UAeGSCN145,TRY,6.3,1420
2022,UAeGSCN145,TRY,6.8,1690
2019,UAeGSCN145,USD,23.6,33
2020,UAeGSCN145,USD,23.6,37
2021,UAeGSCN145,USD,29.1,49
2019,UBeOOCP146,EUR,44.0,388
2020,UBeOOCP146,EUR,47.9,384
2021,UBeOOCP146,EUR,60.2,477
2022,UBeOOCP146,EUR,60.7,518
2019,UBeOOCP146,TRY,7.3,1449
2020,UBeOOCP146,TRY,7.4,1792
2022,UBeOOCP146,TRY,11.1,2417
2019,UBeOOCP146,USD,38.4,32
2020,UBeOOCP146,USD,42.3,53
2021,UBeOOCP146,USD,56.1,38
2022,UBeOOCP146,USD,56.1,38
2019,MXeCSMM147,EUR,203.0,223
2021,MXeCSMM147,EUR,271.3,286
2022,MXeCSMM147,EUR,303.6,347
2019,MXeCSMM147,TRY,33.5,1075
2020,MXeCSMM147,TRY,33.5,1274
2021,MXeCSMM147,TRY,42.0,1483
2022,MXeCSMM147,TRY,42.0,1742
2019,MXeCSMM147,USD,177.1,3
2020,MXeCSMM147,USD,186.0,6
2021,MXeCSMM147,USD,258.0,3
2022,MXeCSMM147,USD,258.0,12
2019,UBaLAVC148,EUR,51.0,210
2020,UBaLAVC148,EUR,51.0,257
2022,UBaLAVC148,EUR,77.7,340
2019,UBaLAVC148,TRY,8.4,1265
2020,UBaLAVC148,TRY,8.4,1524
2021,UBaLAVC148,TRY,11.4,1803
2022,UBaLAVC148,TRY,11.5,2073
2019,UBaLAVC148,USD,44.5,21
2020,UBaLAVC148,USD,44.5,30
2021,UBaLAVC148,USD,56.9,53
2022,UBaLAVC148,USD,67.1,56
2019,UBiOBLE149,EUR,23.0,203
2021,UBiOBLE149,EUR,29.5,318
2022,UBiOBLE149,EUR,31.4,337
2019,UBiOBLE149,TRY,3.8,934
2020,UBiOBLE149,TRY,4.0,1211
2022,UBiOBLE149,TRY,5.9,1609
2019,UBiOBLE149,USD,20.1,40
2020,UBiOBLE149,USD,20.1,32
2021,UBiOBLE149,USD,26.9,50
2022,UBiOBLE149,USD,26.9,45
2019,MXiMMB0150,EUR,125.0,219
2020,MXiMMB0150,EUR,125.0,223
2021,MXiMMB0150,EUR,161.8,313
2022,MXiMMB0150,EUR,161.8,303
